price,beds,baths,average_rent,year_of_completion,total_parking_spaces,total_floors,total_building_area_sqft,elevators,price_y,year,month,quarter,price_category_te,type_te,furnishing_te,completion_status_te,building_name_te,area_name_te,city_te
4794000,5,6,0,0,0,0,0,0,171.72087245157886,2024,4,2,163.42022386241754,145.1564642236749,132.44936528280306,135.49426409689977,132.87013357142845,158.52234752107245,132.00102069039042
1650000,3,4,129166,0,0,0,0,0,131.36642832767888,2024,2,1,138.2818313564658,122.49062797914426,132.02870312123673,127.38117836021159,132.65475570083052,117.57131047234378,133.7373114692438
3300000,4,5,223020,0,0,0,0,0,156.3804720364362,2024,3,1,163.37190824681323,145.09728886157782,132.14265682250962,127.47867440349752,132.63282854487807,152.53256948956675,133.67336753417774
5850000,4,5,215498,0,0,0,0,0,180.4892386164752,2023,12,4,163.42022386241754,145.1564642236749,132.44936528280306,127.47067184865425,132.87013357142845,151.1700671669399,134.01337803947592
480000,0,1,0,0,0,0,0,0,96.07120986570233,2024,4,2,109.19547218888867,122.49062797914426,132.02870312123673,135.08362094295796,132.65475570083052,119.86267273383294,131.64299689042448
1554000,3,4,0,0,0,0,0,0,129.39581439110754,2023,11,4,138.2818313564658,122.49062797914426,132.02870312123673,135.08362094295796,132.65475570083052,124.97541273190697,131.64299689042448
897000,0,1,0,0,0,0,0,0,112.61463606813204,2024,4,2,109.08658606313494,122.43021015341043,132.14265682250962,135.03015084130215,132.63282854487807,140.75147707073057,133.5323446969761
1550000,1,2,0,0,0,0,0,0,129.31173135726164,2024,4,2,138.1580288702424,122.43021015341043,132.14265682250962,135.03015084130215,132.63282854487807,136.64981531804114,133.67336753417774
750000,1,2,0,2015,0,11,160,0,107.61804991033138,2024,4,2,109.24806721408295,122.6693146374798,132.44936528280306,127.47067184865425,108.62773689956768,110.69324426754186,134.01337803947592
850000,2,3,0,0,0,0,0,0,111.08912506570142,2024,4,2,109.19547218888867,122.49062797914426,132.02870312123673,135.08362094295796,132.65475570083052,124.61945164888246,133.7373114692438
2800000,4,5,140087,0,0,0,0,0,150.062335940326,2024,2,1,138.0545921712828,145.2005209924965,132.01512830839363,127.24426147864546,132.5119970957668,151.850175374045,133.32706977238914
2088000,3,4,0,0,0,0,0,0,139.39177951197843,2024,4,2,138.2818313564658,145.3676765508336,132.02870312123673,135.08362094295796,132.65475570083052,147.77634576628827,131.64299689042448
365000,0,1,0,0,0,0,0,0,89.58403021129376,2024,4,2,109.21627017889637,122.3290415905496,132.01512830839363,135.14854404099322,132.5119970957668,119.0824907554143,131.9244965704809
5500000,4,5,0,2009,0,21,170,0,177.72616063111934,2024,4,2,163.41810795276115,122.49062797914426,132.02870312123673,127.38117836021159,147.38536055271277,135.07748693174096,133.60313587791276
1290000,2,3,0,0,0,0,0,0,123.45581838966403,2024,3,1,109.24806721408295,122.6693146374798,127.51407545248527,135.49426409689977,132.87013357142845,110.69324426754186,134.01337803947592
3350000,3,4,0,0,0,0,0,0,156.97151869419622,2024,4,2,163.53996448237965,145.17171701424283,132.06339393006098,127.3908629629186,132.52140208978395,163.81417072782284,133.4713455545535
2200000,4,3,0,0,0,0,0,0,141.236400626629,2024,4,2,138.2818313564658,145.3676765508336,132.02870312123673,135.08362094295796,132.65475570083052,142.02590693961972,133.7373114692438
630000,1,2,69020,0,0,0,0,0,102.95647005492685,2024,4,2,109.24806721408295,122.6693146374798,132.44936528280306,127.47067184865425,132.87013357142845,125.37358089103556,133.62254616576647
6000000,5,7,0,0,0,0,0,0,181.63526647392513,2024,4,2,163.37190824681323,149.31040957054654,132.14265682250962,135.03015084130215,132.63282854487807,140.54329671473903,133.5323446969761
2599999,3,4,178662,0,0,0,0,0,147.29456264969258,2024,3,1,138.22067501009343,145.1564642236749,132.44936528280306,127.47067184865425,132.87013357142845,137.5875885679074,134.01337803947592
2252399,2,3,95468,0,0,0,0,0,142.07511724701496,2024,3,1,138.0545921712828,122.3290415905496,127.6534440051615,127.24426147864546,132.5119970957668,139.30727635271927,133.6791444548438
4400000,2,3,0,0,0,0,0,0,168.0730801179795,2024,4,2,163.41810795276115,122.49062797914426,132.02870312123673,135.08362094295796,132.65475570083052,142.63433150719158,133.7373114692438
1500000,2,2,0,0,0,0,0,0,128.2466016070611,2024,4,2,138.1580288702424,122.43021015341043,132.14265682250962,135.03015084130215,132.63282854487807,130.41075401421102,133.67336753417774
2070000,3,4,102619,0,0,0,0,0,139.08839075621427,2024,4,2,138.0545921712828,122.3290415905496,132.01512830839363,127.24426147864546,132.5119970957668,124.55471097811852,133.32706977238914
900000,1,1,61294,0,0,0,0,0,112.70993992299381,2024,4,2,109.08658606313494,122.43021015341043,132.14265682250962,127.47867440349752,132.63282854487807,140.75147707073057,133.5323446969761
3000000,4,6,0,0,0,0,0,0,152.6845231991854,2024,4,2,163.37190824681323,149.31040957054654,132.14265682250962,135.03015084130215,132.63282854487807,117.82807577336878,131.55314579600633
